Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2017-02-08,56.9830436706543,57.40587442562853,56.87508812345586,57.18995989938669,18096400
2017-02-09,57.63078689575195,57.97265360282888,56.96505694234061,57.14498516255961,22644400
2017-02-10,57.57680892944336,57.84670296677632,57.55881576483148,57.801718339324,18170700
2017-02-13,58.224525451660156,58.35047412088229,57.69373589106315,57.792696540264494,22920100
2017-02-14,58.4417610168457,58.5775261301957,57.94395790299588,58.29694995982608,23108400
2017-02-15,58.40554428100586,58.441748763995285,58.07066489762698,58.378392645088546,17005200
2017-02-16,58.3964958190918,59.04816275123894,58.32409375297512,58.59561703783671,20546300
2017-02-17,58.48704147338867,58.55039763062011,58.19741233957305,58.351276306377514,21248800
2017-02-21,58.36935043334961,58.78569170563997,58.333145943763455,58.477963902108094,20655900
2017-02-22,58.25168991088867,58.27884155123569,57.97111375356913,58.22453827054164,19292700
2017-02-23,58.48704147338867,58.58660213550997,58.09785167745175,58.30601894893938,20273100
2017-02-24,58.48704147338867,58.64995829274142,58.05259432001362,58.40557961106068,21796800
2017-02-27,58.134037017822266,58.414613206594616,57.97112025217681,58.414613206594616,15871500
2017-02-28,57.90776062011719,58.10687842591873,57.708639361665156,57.9982718524365,23239800
2017-03-01,58.776641845703125,58.821892275695376,57.9439524513074,58.043513064710154,26937500
2017-03-02,57.93490219116211,58.604667890715035,57.81723934294077,58.55036461665109,24539600
2017-03-03,58.152130126953125,58.179281767689645,57.58192150293512,57.916807851052916,18135900
2017-03-06,58.17023468017578,58.43271207545835,57.75389682126457,57.898711340618654,18750300
2017-03-07,58.28791046142578,58.631842842761415,58.09784202132171,58.09784202132171,18521000
2017-03-08,58.82189178466797,58.90335360645377,58.1521260407949,58.161178888837725,21510900
2017-03-09,58.58658981323242,59.011977119285994,58.360316884239296,59.00293117394355,19846800
2017-03-10,58.76759338378906,59.06627524628986,58.60467663199775,58.93051013558037,19538200
2017-03-13,58.56847381591797,59.002920801544086,58.44176155038131,58.84000404509686,20100000
2017-03-14,58.29695510864258,58.42366738421373,58.061629351738524,58.40556168467435,14280200
2017-03-15,58.60467529296875,58.758539192450435,58.15212953781069,58.42365975302561,24833800
2017-03-16,58.505104064941406,58.61371751239117,58.19737632178218,58.60466466544562,20674300
2017-03-17,58.71328353881836,59.04816294846279,58.54131395745526,58.74948802464741,49219700
2017-03-20,58.76759338378906,58.993866266538085,58.577524990915926,58.7494945915013,14598100
2017-03-21,58.11592102050781,59.283489816522625,58.04351204742944,59.002913677468584,26640500
